"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"51","GSE28735",90,28869,2598210,"smacof_MDS (R)","smacof_MDS (R)","smacof_MDS (R)",NA,NA,0.73,0.45,3,0,0.009,0.769,0.692,0.846,0.818,0.692,0.75,18,10.033,0.557,0.355
"52","GSE28735",90,28869,2598210,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0.002,2.879,0.654,0.769,0.538,0.625,0.769,0.69,19,7.611,0.401,0.187
"53","GSE28735",90,28869,2598210,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0.02,0.528,0.615,0.846,0.385,0.579,0.846,0.688,19,7.689,0.405,0.191
"54","GSE28735",90,28869,2598210,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.69,0.37,3,0,0.496,0.615,0.615,0.615,0.615,0.615,0.615,30,17.8,0.593,0.256
"55","GSE28735",90,28869,2598210,"HSMDS (Rcpp)","HSMDS (Rcpp)","HSMDS (Rcpp)",NA,NA,0.76,0.52,3,0.001,7.481,0.577,0.538,0.615,0.583,0.538,0.56,20,12.1,0.605,0.38
"56","GSE28735",90,28869,2598210,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.06,0.385,0.231,0.538,0.333,0.231,0.273,72,61.289,0.851,0.042
"57","GSE29272",268,22283,5971844,"HSMDS (Rcpp)","HSMDS (Rcpp)","HSMDS (Rcpp)",NA,NA,0.84,0.68,3,0.003,31.028,0.95,0.975,0.925,0.929,0.975,0.951,84,72.116,0.859,0.544
"58","GSE29272",268,22283,5971844,"HSLMDS [k=249] [kQuality=249] (Rcpp)","HSLMDS [k=249] [kQuality=249] (Rcpp)","HSLMDS (Rcpp)",249,NA,0.84,0.68,1,NA,41.657,0.95,0.975,0.925,0.929,0.975,0.951,67,53.638,0.801,0.55
"59","GSE29272",268,22283,5971844,"LMDS [k=249] [kQuality=250] (Rcpp)","LMDS [k=249] [kQuality=250] (Rcpp)","LMDS (Rcpp)",249,NA,0.84,0.68,1,NA,41.702,0.95,0.975,0.925,0.929,0.975,0.951,67,53.638,0.801,0.55
"60","GSE29272",268,22283,5971844,"UMAP [k=30]","UMAP [k=30]","UMAP",30,NA,0.79,0.58,1,NA,0.598,0.95,0.95,0.95,0.95,0.95,0.95,62,45.642,0.736,0.504
"61","GSE29272",268,22283,5971844,"MDS (Rcpp)","MDS (Rcpp)","MDS (Rcpp)",NA,NA,0.84,0.67,3,0.007,3.176,0.938,0.925,0.95,0.949,0.925,0.937,66,52.265,0.792,0.545
"62","GSE29272",268,22283,5971844,"PPCA","PPCA","PPCA",NA,NA,0.81,0.62,3,0.015,1.538,0.912,0.9,0.925,0.923,0.9,0.911,116,108.216,0.933,0.498
"63","GSE29272",268,22283,5971844,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0,3.026,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
