"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"54","GSE28735",90,28869,2598210,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.76,0.52,3,0.004,2.467,0.577,0.538,0.615,0.583,0.538,0.56,20,12.1,0.605,0.38
"55","GSE28735",90,28869,2598210,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.69,0.37,3,0,0.499,0.615,0.615,0.615,0.615,0.615,0.615,30,17.8,0.593,0.256
"56","GSE28735",90,28869,2598210,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.059,0.577,0.692,0.462,0.562,0.692,0.621,72,61.256,0.851,0.042
"57","GSE29272",268,22283,5971844,"HSLMDS [k=49] [kQuality=48] (HSLocalMDS)","HSLMDS [k=49] [kQuality=48] (HSLocalMDS)","HSLMDS (HSLocalMDS)",49,NA,0.71,0.42,1,NA,3.41,0.662,0.35,0.975,0.933,0.35,0.509,2,1.84,0.92,0.912
"58","GSE29272",268,22283,5971844,"UMAP [k=112]","UMAP [k=112]","UMAP",112,NA,0.8,0.59,1,NA,1.058,0.938,0.925,0.95,0.949,0.925,0.937,123,118.981,0.967,0.507
"59","GSE29272",268,22283,5971844,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.84,0.68,3,0.012,25.689,0.95,0.975,0.925,0.929,0.975,0.951,84,72.116,0.859,0.544
"60","GSE29272",268,22283,5971844,"LMDS [k=249] [kQuality=251] (HSLocalMDS)","LMDS [k=249] [kQuality=251] (HSLocalMDS)","LMDS (HSLocalMDS)",249,NA,0.84,0.68,1,NA,37.108,0.938,0.95,0.925,0.927,0.95,0.938,67,53.646,0.801,0.55
"61","GSE29272",268,22283,5971844,"PPCA","PPCA","PPCA",NA,NA,0.81,0.62,3,3.411,119.604,0.912,0.9,0.925,0.923,0.9,0.911,116,108.224,0.933,0.499
"62","GSE29272",268,22283,5971844,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0,3.046,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
"63","GSE29272",268,22283,5971844,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.84,0.67,3,0,3.446,0.9,0.95,0.85,0.864,0.95,0.905,63,49.254,0.782,0.546
"64","GSE29272",268,22283,5971844,"tSNE [perp=12]","tSNE [perp=12]","tSNE",NA,12,0.55,0.09,1,NA,0.926,0.725,0.7,0.75,0.737,0.7,0.718,1,0.131,0.131,0.127
"65","GSE29272",268,22283,5971844,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.74,0.47,3,0,0.906,0.688,0.65,0.725,0.703,0.65,0.675,118,105.052,0.89,0.448
"66","GSE29272",268,22283,5971844,"DRR","DRR","DRR",NA,NA,0.75,0.5,3,0.002,3.405,0.662,0.65,0.675,0.667,0.65,0.658,118,107.328,0.91,0.468
"67","GSE29272",268,22283,5971844,"LMDS [k=231] (smacofx)","LMDS [k=231] (smacofx)","LMDS (smacofx)",231,NA,0.54,0.07,1,NA,10.654,0.562,0.5,0.625,0.571,0.5,0.533,52,13.929,0.268,0.073
"68","GSE29272",268,22283,5971844,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.67,0.33,3,0,0.085,0.588,0.675,0.5,0.574,0.675,0.621,94,60.321,0.642,0.29
"69","GSE29272",268,22283,5971844,"kPCA","kPCA","kPCA",NA,NA,0.51,0.02,3,0,0.21,0.388,0.425,0.35,0.395,0.425,0.41,58,14.373,0.248,0.031
"70","GSE35988",88,28796,2534048,"HSLMDS [k=55] [kQuality=52] (HSLocalMDS)","HSLMDS [k=55] [kQuality=52] (HSLocalMDS)","HSLMDS (HSLocalMDS)",55,NA,0.78,0.56,1,NA,8.619,0.88,NA,NA,NA,NA,NA,17,10.375,0.61,0.415
