"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"56","GSE28735",90,28869,2598210,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0,0.453,0.615,0.846,0.385,0.579,0.846,0.688,19,7.689,0.405,0.191
"57","GSE28735",90,28869,2598210,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186
"58","GSE28735",90,28869,2598210,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.77,0.54,3,0,0.215,0.769,0.692,0.846,0.818,0.692,0.75,18,11,0.611,0.409
"59","GSE28735",90,28869,2598210,"LMDS [k=83] (smacofx)","LMDS [k=83] (smacofx)","LMDS (smacofx)",83,NA,0.74,0.48,1,NA,0.677,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"60","GSE28735",90,28869,2598210,"PPCA","PPCA","PPCA",NA,NA,0.74,0.48,3,0.047,1.185,0.808,0.692,0.923,0.9,0.692,0.783,18,10.278,0.571,0.369
"61","GSE28735",90,28869,2598210,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.73,0.45,3,0,0.007,0.769,0.692,0.846,0.818,0.692,0.75,18,10.033,0.557,0.355
"62","GSE28735",90,28869,2598210,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.69,0.37,3,0,0.504,0.615,0.615,0.615,0.615,0.615,0.615,30,17.8,0.593,0.256
"63","GSE28735",90,28869,2598210,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.76,0.52,3,0,7.448,0.577,0.538,0.615,0.583,0.538,0.56,20,12.1,0.605,0.38
"64","GSE28735",90,28869,2598210,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.063,0.385,0.231,0.538,0.333,0.231,0.273,72,61.289,0.851,0.042
"65","GSE29272",268,22283,5971844,"LMDS [k=130] (rNLDR)","LMDS [k=130] (rNLDR)","LMDS (rNLDR)",130,NA,0.83,0.66,1,NA,264.931,0.95,1,0.9,0.909,1,0.952,72,57.563,0.799,0.53
"66","GSE29272",268,22283,5971844,"HSLMDS [k=130] (rNLDR)","HSLMDS [k=130] (rNLDR)","HSLMDS (rNLDR)",130,NA,0.83,0.66,1,NA,702.314,0.95,1,0.9,0.909,1,0.952,72,57.563,0.799,0.53
"67","GSE29272",268,22283,5971844,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.84,0.68,3,0.011,30.548,0.95,0.975,0.925,0.929,0.975,0.951,84,72.116,0.859,0.544
"68","GSE29272",268,22283,5971844,"LMDS [k=249] [kQuality=251] (NLDR)","LMDS [k=249] [kQuality=251] (NLDR)","LMDS (NLDR)",249,NA,0.84,0.67,1,NA,4.272,0.912,0.975,0.85,0.867,0.975,0.918,69,55.459,0.804,0.545
"69","GSE29272",268,22283,5971844,"HSLMDS [k=130] [kQuality=130] (NLDR)","HSLMDS [k=130] [kQuality=130] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,10.909,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"70","GSE29272",268,22283,5971844,"UMAP [k=39]","UMAP [k=39]","UMAP",39,NA,0.82,0.63,1,NA,0.914,0.925,0.95,0.9,0.905,0.95,0.927,123,118.746,0.965,0.505
"71","GSE29272",268,22283,5971844,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.84,0.67,3,0.001,3.1,0.938,0.925,0.95,0.949,0.925,0.937,66,52.265,0.792,0.545
"72","GSE29272",268,22283,5971844,"PPCA","PPCA","PPCA",NA,NA,0.81,0.62,3,0.53,2.356,0.912,0.9,0.925,0.923,0.9,0.911,116,108.224,0.933,0.499
"73","GSE29272",268,22283,5971844,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0.002,3.184,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
"74","GSE29272",268,22283,5971844,"tSNE [perp=39]","tSNE [perp=39]","tSNE",NA,39,0.55,0.1,1,NA,1.01,0.675,0.8,0.55,0.64,0.8,0.711,40,10.862,0.272,0.122
"75","GSE29272",268,22283,5971844,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.69,0.38,3,0,0.055,0.662,0.75,0.575,0.638,0.75,0.69,111,84.269,0.759,0.343
"76","GSE29272",268,22283,5971844,"LMDS [k=240] (smacofx)","LMDS [k=240] (smacofx)","LMDS (smacofx)",240,NA,0.63,0.27,1,NA,11.245,0.675,0.65,0.7,0.684,0.65,0.667,114,76.347,0.67,0.243
"77","GSE29272",268,22283,5971844,"kPCA","kPCA","kPCA",NA,NA,0.51,0.01,3,0.002,0.231,0.588,0.65,0.525,0.578,0.65,0.612,12,0.746,0.062,0.017
"78","GSE29272",268,22283,5971844,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.59,0.18,3,0.004,0.986,0.762,0.625,0.9,0.862,0.625,0.725,28,8.84,0.316,0.211
"79","GSE29272",268,22283,5971844,"DRR","DRR","DRR",NA,NA,0.64,0.29,3,0.015,4.653,0.713,0.55,0.875,0.815,0.55,0.657,50,24.481,0.49,0.302
"80","GSE35988",88,28796,2534048,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.78,0.55,3,0,5.011,0.88,NA,NA,NA,NA,NA,30,22.75,0.758,0.414
"81","GSE35988",88,28796,2534048,"HSLMDS [k=49] (rNLDR)","HSLMDS [k=49] (rNLDR)","HSLMDS (rNLDR)",49,NA,0.78,0.55,1,NA,56.602,0.84,NA,NA,NA,NA,NA,30,22.693,0.756,0.412
"82","GSE35988",88,28796,2534048,"LMDS [k=52] [kQuality=52] (NLDR)","LMDS [k=52] [kQuality=52] (NLDR)","LMDS (NLDR)",52,NA,0.77,0.54,1,NA,0.318,0.88,NA,NA,NA,NA,NA,24,16.398,0.683,0.407
"83","GSE35988",88,28796,2534048,"HSLMDS [k=44] [kQuality=47] (NLDR)","HSLMDS [k=44] [kQuality=47] (NLDR)","HSLMDS (NLDR)",44,NA,0.77,0.54,1,NA,0.718,0.8,NA,NA,NA,NA,NA,27,19.568,0.725,0.414
"84","GSE35988",88,28796,2534048,"LMDS [k=49] (rNLDR)","LMDS [k=49] (rNLDR)","LMDS (rNLDR)",49,NA,0.77,0.54,1,NA,11.647,0.88,NA,NA,NA,NA,NA,24,16.693,0.696,0.42
"85","GSE35988",88,28796,2534048,"Isomap [k=64]","Isomap [k=64]","Isomap",64,NA,0.76,0.52,1,NA,0.16,0.84,NA,NA,NA,NA,NA,26,17.898,0.688,0.39
"86","GSE35988",88,28796,2534048,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.76,0.52,3,0,0.454,0.8,NA,NA,NA,NA,NA,22,14.477,0.658,0.405
