"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"Isomap [k=36]","Isomap [k=36]","Isomap",36,NA,0.73,0.46,1,NA,0.186,0.692,0.692,0.692,0.692,0.692,0.692,29,19.478,0.672,0.346
"Isomap [k=39]","Isomap [k=39]","Isomap",39,NA,0.74,0.47,1,NA,0.211,0.692,0.692,0.692,0.692,0.692,0.692,31,21.7,0.7,0.352
"Isomap [k=42]","Isomap [k=42]","Isomap",42,NA,0.74,0.47,1,NA,0.195,0.692,0.692,0.692,0.692,0.692,0.692,29,19.756,0.681,0.355
"Isomap [k=45]","Isomap [k=45]","Isomap",45,NA,0.74,0.48,1,NA,0.198,0.692,0.692,0.692,0.692,0.692,0.692,23,14.356,0.624,0.366
"Isomap [k=47]","Isomap [k=47]","Isomap",47,NA,0.75,0.48,1,NA,0.198,0.846,0.769,0.923,0.909,0.769,0.833,23,14.322,0.623,0.364
"Isomap [k=50]","Isomap [k=50]","Isomap",50,NA,0.75,0.49,1,NA,0.201,0.846,0.846,0.846,0.846,0.846,0.846,29,19.9,0.686,0.36
"Isomap [k=53]","Isomap [k=53]","Isomap",53,NA,0.75,0.49,1,NA,0.193,0.654,0.692,0.615,0.643,0.692,0.667,24,15.078,0.628,0.359
"Isomap [k=56]","Isomap [k=56]","Isomap",56,NA,0.75,0.49,1,NA,0.194,0.769,0.692,0.846,0.818,0.692,0.75,25,16.022,0.641,0.36
"Isomap [k=59]","Isomap [k=59]","Isomap",59,NA,0.75,0.5,1,NA,0.196,0.731,0.692,0.769,0.75,0.692,0.72,33,24.189,0.733,0.362
"Isomap [k=6]","Isomap [k=6]","Isomap",6,NA,0.73,0.44,1,NA,0.159,0.846,0.769,0.923,0.909,0.769,0.833,20,11.856,0.593,0.368
"Isomap [k=62]","Isomap [k=62]","Isomap",62,NA,0.75,0.5,1,NA,0.192,0.692,0.538,0.846,0.778,0.538,0.636,25,16.422,0.657,0.376
"Isomap [k=65]","Isomap [k=65]","Isomap",65,NA,0.76,0.51,1,NA,0.194,0.808,0.692,0.923,0.9,0.692,0.783,20,12.089,0.604,0.38
"Isomap [k=68]","Isomap [k=68]","Isomap",68,NA,0.76,0.51,1,NA,0.184,0.615,0.538,0.692,0.636,0.538,0.583,24,15.733,0.656,0.386
"Isomap [k=71]","Isomap [k=71]","Isomap",71,NA,0.76,0.51,1,NA,0.199,0.769,0.692,0.846,0.818,0.692,0.75,26,17.667,0.679,0.387
"Isomap [k=74]","Isomap [k=74]","Isomap",74,NA,0.76,0.51,1,NA,0.199,0.615,0.308,0.923,0.8,0.308,0.444,24,15.822,0.659,0.39
"Isomap [k=77]","Isomap [k=77]","Isomap",77,NA,0.75,0.5,1,NA,0.21,0.731,0.692,0.769,0.75,0.692,0.72,21,12.867,0.613,0.377
"Isomap [k=80]","Isomap [k=80]","Isomap",80,NA,0.75,0.49,1,NA,0.202,0.846,0.769,0.923,0.909,0.769,0.833,18,10.5,0.583,0.381
"Isomap [k=83]","Isomap [k=83]","Isomap",83,NA,0.74,0.48,1,NA,0.2,0.769,0.692,0.846,0.818,0.692,0.75,18,10.422,0.579,0.377
"Isomap [k=86]","Isomap [k=86]","Isomap",86,NA,0.75,0.48,1,NA,0.196,0.769,0.692,0.846,0.818,0.692,0.75,17,9.589,0.564,0.373
"Isomap [k=89]","Isomap [k=89]","Isomap",89,NA,0.74,0.48,1,NA,0.203,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"Isomap [k=9]","Isomap [k=9]","Isomap",9,NA,0.73,0.45,1,NA,0.172,0.846,0.769,0.923,0.909,0.769,0.833,18,10.633,0.591,0.388
"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.059,0.577,0.692,0.462,0.562,0.692,0.621,72,61.256,0.851,0.042
