"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"47","GSE21034",185,43419,8032515,"kPCA","kPCA","kPCA",NA,NA,0.51,0.02,3,0,0.226,0.722,NA,NA,NA,NA,NA,64,23.503,0.367,0.019
"48","GSE21034",185,43419,8032515,"PPCA","PPCA","PPCA",NA,NA,0.79,0.57,3,0.238,205.62,0.704,NA,NA,NA,NA,NA,40,26.908,0.673,0.455
"49","GSE28735",90,28869,2598210,"LMDS [k=86] [kQuality=84] (NLDR)","LMDS [k=86] [kQuality=84] (NLDR)","LMDS (NLDR)",86,NA,0.77,0.53,1,NA,0.324,0.962,0.923,1,1,0.923,0.96,24,16.189,0.675,0.405
"50","GSE28735",90,28869,2598210,"HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS (NLDR)",15,NA,0.75,0.49,1,NA,0.777,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"51","GSE28735",90,28869,2598210,"LMDS [k=15] (rNLDR)","LMDS [k=15] (rNLDR)","LMDS (rNLDR)",15,NA,0.75,0.49,1,NA,9.998,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"52","GSE28735",90,28869,2598210,"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.75,0.49,1,NA,50.977,0.962,1,0.923,0.929,1,0.963,18,11.478,0.638,0.435
"53","GSE28735",90,28869,2598210,"UMAP [k=9]","UMAP [k=9]","UMAP",9,NA,0.71,0.42,1,NA,0.127,0.962,1,0.923,0.929,1,0.963,20,11.367,0.568,0.344
"54","GSE28735",90,28869,2598210,"tSNE [perp=21]","tSNE [perp=21]","tSNE",NA,21,0.76,0.52,1,NA,0.183,0.885,0.846,0.923,0.917,0.846,0.88,10,5.789,0.579,0.467
"55","GSE28735",90,28869,2598210,"Isomap [k=50]","Isomap [k=50]","Isomap",50,NA,0.75,0.49,1,NA,0.194,0.846,0.846,0.846,0.846,0.846,0.846,29,19.9,0.686,0.36
"56","GSE28735",90,28869,2598210,"PPCA","PPCA","PPCA",NA,NA,0.74,0.48,3,0.047,1.185,0.808,0.692,0.923,0.9,0.692,0.783,18,10.278,0.571,0.369
"57","GSE28735",90,28869,2598210,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.77,0.54,3,0,0.215,0.769,0.692,0.846,0.818,0.692,0.75,18,11,0.611,0.409
"58","GSE28735",90,28869,2598210,"LMDS [k=83] (smacofx)","LMDS [k=83] (smacofx)","LMDS (smacofx)",83,NA,0.74,0.48,1,NA,0.677,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"59","GSE28735",90,28869,2598210,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.73,0.45,3,0,0.007,0.769,0.692,0.846,0.818,0.692,0.75,18,10.033,0.557,0.355
"60","GSE28735",90,28869,2598210,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.69,0.37,3,0,0.504,0.615,0.615,0.615,0.615,0.615,0.615,30,17.8,0.593,0.256
"61","GSE28735",90,28869,2598210,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0,0.453,0.615,0.846,0.385,0.579,0.846,0.688,19,7.689,0.405,0.191
"62","GSE28735",90,28869,2598210,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186
"63","GSE28735",90,28869,2598210,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.76,0.52,3,0,7.448,0.577,0.538,0.615,0.583,0.538,0.56,20,12.1,0.605,0.38
"64","GSE28735",90,28869,2598210,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.063,0.385,0.231,0.538,0.333,0.231,0.273,72,61.289,0.851,0.042
"65","GSE29272",268,22283,5971844,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.84,0.68,3,0.011,30.548,0.95,0.975,0.925,0.929,0.975,0.951,84,72.116,0.859,0.544
