"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=258] (rNLDR)","HSLMDS [k=258] (rNLDR)","HSLMDS (rNLDR)",258,NA,0.83,0.66,1,NA,1018.897,0.912,0.925,0.9,0.902,0.925,0.914,66,51.369,0.778,0.531
"HSLMDS [k=258] [kQuality=255] (NLDR)","HSLMDS [k=258] [kQuality=255] (NLDR)","HSLMDS (NLDR)",258,NA,0.83,0.66,1,NA,18.092,0.938,0.95,0.925,0.927,0.95,0.938,67,53.604,0.8,0.549
"HSLMDS [k=258] [kQuality=256] (NLDR)","HSLMDS [k=258] [kQuality=256] (NLDR)","HSLMDS (NLDR)",258,NA,0.83,0.66,1,NA,18.111,0.938,0.95,0.925,0.927,0.95,0.938,67,53.604,0.8,0.549
"HSLMDS [k=258] [kQuality=257] (NLDR)","HSLMDS [k=258] [kQuality=257] (NLDR)","HSLMDS (NLDR)",258,NA,0.83,0.66,1,NA,14.626,0.938,0.95,0.925,0.927,0.95,0.938,67,53.586,0.8,0.549
"HSLMDS [k=258] [kQuality=258] (NLDR)","HSLMDS [k=258] [kQuality=258] (NLDR)","HSLMDS (NLDR)",258,NA,0.83,0.66,1,NA,18.062,0.938,0.95,0.925,0.927,0.95,0.938,67,53.604,0.8,0.549
"HSLMDS [k=258] [kQuality=259] (NLDR)","HSLMDS [k=258] [kQuality=259] (NLDR)","HSLMDS (NLDR)",258,NA,0.83,0.66,1,NA,6.353,0.925,0.95,0.9,0.905,0.95,0.927,67,53.601,0.8,0.549
"HSLMDS [k=258] [kQuality=260] (NLDR)","HSLMDS [k=258] [kQuality=260] (NLDR)","HSLMDS (NLDR)",258,NA,0.81,0.62,1,NA,9.162,0.912,0.925,0.9,0.902,0.925,0.914,68,54.142,0.796,0.542
"HSLMDS [k=258] [kQuality=261] (NLDR)","HSLMDS [k=258] [kQuality=261] (NLDR)","HSLMDS (NLDR)",258,NA,0.81,0.61,1,NA,10.287,0.9,0.9,0.9,0.9,0.9,0.9,75,61.575,0.821,0.54
"HSLMDS [k=267] (rNLDR)","HSLMDS [k=267] (rNLDR)","HSLMDS (rNLDR)",267,NA,0.82,0.64,1,NA,685.763,0.863,0.925,0.8,0.822,0.925,0.871,80,63.765,0.797,0.497
"HSLMDS [k=267] [kQuality=264] (NLDR)","HSLMDS [k=267] [kQuality=264] (NLDR)","HSLMDS (NLDR)",267,NA,0.77,0.53,1,NA,54.455,0.65,0.675,0.625,0.643,0.675,0.659,123,116.884,0.95,0.49
"HSLMDS [k=267] [kQuality=265] (NLDR)","HSLMDS [k=267] [kQuality=265] (NLDR)","HSLMDS (NLDR)",267,NA,0.77,0.53,1,NA,54.354,0.65,0.675,0.625,0.643,0.675,0.659,123,116.884,0.95,0.49
"HSLMDS [k=267] [kQuality=266] (NLDR)","HSLMDS [k=267] [kQuality=266] (NLDR)","HSLMDS (NLDR)",267,NA,0.77,0.53,1,NA,54.278,0.65,0.675,0.625,0.643,0.675,0.659,123,116.884,0.95,0.49
"HSLMDS [k=267] [kQuality=267] (NLDR)","HSLMDS [k=267] [kQuality=267] (NLDR)","HSLMDS (NLDR)",267,NA,0.83,0.67,1,NA,11.269,0.925,0.925,0.925,0.925,0.925,0.925,67,52.795,0.788,0.537
"HSLMDS [k=3] (rNLDR)","HSLMDS [k=3] (rNLDR)","HSLMDS (rNLDR)",3,NA,0.75,0.5,1,NA,1795.981,0.762,0.725,0.8,0.784,0.725,0.753,123,113.168,0.92,0.459
"HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS (NLDR)",3,NA,0.76,0.52,1,NA,46.425,0.838,0.95,0.725,0.776,0.95,0.854,123,114.444,0.93,0.47
"HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS (NLDR)",3,NA,0.76,0.52,1,NA,47.682,0.9,0.875,0.925,0.921,0.875,0.897,122,113.336,0.929,0.472
"HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS (NLDR)",3,NA,0.75,0.49,1,NA,46.138,0.688,0.7,0.675,0.683,0.7,0.691,123,113.642,0.924,0.463
"HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS (NLDR)",3,NA,0.75,0.49,1,NA,46.095,0.688,0.7,0.675,0.683,0.7,0.691,123,113.642,0.924,0.463
"HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS (NLDR)",3,NA,0.76,0.52,1,NA,10.295,0.812,0.725,0.9,0.879,0.725,0.795,123,114.037,0.927,0.466
"HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS (NLDR)",3,NA,0.75,0.49,1,NA,46.159,0.688,0.7,0.675,0.683,0.7,0.691,123,113.642,0.924,0.463
